城市,岗位名称,公司名称,薪资,地点
上海,资深Python后端开发工程师,长沙易出发科技有限公司,2-2.3万·13薪,上海·浦东新区
上海,python开发工程师,上海塑盛电子商务有限公司,1.2-1.4万·13薪,上海
上海,Python开发工程师,上海鑫测信息技术有限公司,1.8-3.5万,上海·浦东新区
上海,AI应用开发工程师,上海杨浦区华智进修学校,2.3-3万,上海·杨浦区
上海,Python高级工程师,上海天战信息科技有限公司,1.5-2.5万·13薪,上海·青浦区
上海,python开发工程师,上海速强信息技术有限公司,8千-1.2万,上海·浦东新区
上海,AI 大模型应用开发工程师,台州拜亚进出口有限公司,1.5-2.5万,上海·徐汇区
上海,金融创新部-开发岗(J16637),国金证券股份有限公司,1.2-1.5万·20薪,上海
上海,AI Python后端研发工程师,恩士迅信息科技（中国）有限责任公司,1-1.5万,上海
上海,AI Agent开发工程师,百林科医药科技（上海）股份有限公司,2.3-3万·13薪,上海·浦东新区
上海,软件工程师,北京极光星通科技有限公司,1.5-3万·14薪,上海·闵行区
上海,Python后端工程师,上海远宽能源科技有限公司,1.7-2.5万·14薪,上海·杨浦区
上海,python开发,深圳市睿服科技有限公司,1.5-1.8万,上海
上海,Python工程师(J10563),立信会计师事务所（特殊普通合伙）,1.2-2.2万,上海·黄浦区
上海,大模型应用开发工程师,锐仕方达（昆山）人力资源有限公司,1.5-3万,上海·浦东新区
上海,python开发工程师,深圳建广数字科技有限公司青岛分公司,1.3-1.6万,上海·浦东新区
上海,python开发工程师,上海微创软件股份有限公司,1.2-1.9万,上海
上海,Python Web开发工程师,上海源培生物科技股份有限公司,6千-1.2万,上海·奉贤区
上海,Python爬虫工程师（初级）,上海融和元储能源有限公司,1.5-2万·13薪,上海·青浦区
上海,python后端开发工程师,上海翼多翼得健康科技有限公司,1.5-3万,上海·普陀区
